1,317,2026-01-21 00:00:00.0000000,12,paid,311.74,.00,.00
1,317,2026-01-21 00:00:00.0000000,12,paid,311.74,.00,.00
2,107,2025-11-24 00:00:00.0000000,7,paid,460.88,.00,99.00
3,907,2025-11-21 00:00:00.0000000,7,paid,132.78,.00,49.00
4,430,2026-01-17 00:00:00.0000000,3,paid,439.18,.00,79.00
5,704,2025-10-04 00:00:00.0000000,9,paid,245.68,27.30,.00
6,972,2025-11-07 00:00:00.0000000,6,paid,356.35,30.82,79.00
7,362,2025-10-11 00:00:00.0000000,11,paid,465.83,.00,49.00
8,796,2025-09-21 00:00:00.0000000,12,paid,158.63,.00,79.00
9,432,2025-11-26 00:00:00.0000000,11,paid,96.05,10.67,.00
10,675,2026-01-22 00:00:00.0000000,10,paid,442.18,.00,79.00
11,859,2025-11-28 00:00:00.0000000,11,paid,215.07,18.45,49.00
12,1014,2025-08-07 00:00:00.0000000,8,paid,230.65,9.56,49.00
13,1176,2025-08-11 00:00:00.0000000,1,paid,353.82,.00,.00
14,576,2025-11-11 00:00:00.0000000,4,paid,81.57,.00,.00
15,1089,2025-09-30 00:00:00.0000000,7,cancelled,784.45,.00,49.00
16,893,2025-10-07 00:00:00.0000000,12,paid,164.67,.00,79.00
17,270,2025-12-31 00:00:00.0000000,9,paid,173.71,.00,49.00
18,1124,2025-12-18 00:00:00.0000000,12,paid,172.76,8.20,99.00
19,1129,2026-01-01 00:00:00.0000000,3,paid,161.88,.00,49.00
20,1155,2025-11-10 00:00:00.0000000,12,paid,385.76,13.51,129.00
21,438,2025-11-18 00:00:00.0000000,11,paid,285.54,.00,99.00
22,1043,2025-12-18 00:00:00.0000000,12,paid,258.12,.00,.00
23,225,2026-01-18 00:00:00.0000000,6,paid,348.79,18.36,.00
24,990,2025-09-20 00:00:00.0000000,8,paid,509.80,.00,79.00
25,460,2025-11-25 00:00:00.0000000,11,paid,75.25,.00,.00
26,394,2026-01-12 00:00:00.0000000,3,paid,220.99,.00,79.00
27,912,2025-09-15 00:00:00.0000000,6,paid,971.96,.00,79.00
28,15,2025-09-22 00:00:00.0000000,9,paid,346.40,18.23,.00
29,560,2025-10-27 00:00:00.0000000,9,paid,419.36,15.28,129.00
30,1004,2025-11-29 00:00:00.0000000,6,paid,165.03,.00,129.00
31,414,2025-08-13 00:00:00.0000000,5,paid,247.78,.00,.00
32,999,2025-10-28 00:00:00.0000000,1,paid,512.08,.00,99.00
33,115,2025-12-03 00:00:00.0000000,3,paid,542.51,25.97,49.00
34,976,2025-11-26 00:00:00.0000000,3,paid,632.40,.00,.00
35,1099,2025-09-23 00:00:00.0000000,12,cancelled,133.76,.00,79.00
36,36,2025-11-24 00:00:00.0000000,4,cancelled,370.90,.00,79.00
37,242,2025-11-26 00:00:00.0000000,5,paid,195.23,.00,129.00
38,63,2025-08-04 00:00:00.0000000,11,paid,531.09,.00,79.00
39,666,2025-10-14 00:00:00.0000000,8,paid,221.53,.00,79.00
40,509,2025-09-18 00:00:00.0000000,11,paid,234.64,.00,.00
41,188,2025-08-07 00:00:00.0000000,9,paid,208.26,14.36,79.00
42,735,2025-11-18 00:00:00.0000000,12,paid,166.51,6.18,49.00
43,93,2025-11-30 00:00:00.0000000,7,paid,204.24,.00,49.00
44,5,2025-08-11 00:00:00.0000000,10,paid,242.97,.00,99.00
45,1190,2025-10-31 00:00:00.0000000,6,paid,565.64,.00,129.00
46,25,2026-01-29 00:00:00.0000000,3,paid,225.16,.00,.00
47,508,2026-01-20 00:00:00.0000000,9,paid,230.12,25.57,.00
48,98,2025-08-23 00:00:00.0000000,10,paid,103.92,5.47,.00
49,662,2025-08-28 00:00:00.0000000,1,paid,213.16,.00,129.00
50,684,2025-11-19 00:00:00.0000000,9,cancelled,279.48,.00,79.00
51,1133,2025-09-26 00:00:00.0000000,3,paid,262.48,18.16,99.00
52,27,2025-08-26 00:00:00.0000000,9,paid,469.30,.00,49.00
53,55,2025-12-31 00:00:00.0000000,10,paid,632.59,.00,79.00
54,1157,2025-09-23 00:00:00.0000000,1,paid,59.60,.00,.00
55,1076,2025-08-29 00:00:00.0000000,8,paid,227.43,.00,.00
56,781,2025-11-05 00:00:00.0000000,6,paid,335.97,.00,.00
57,298,2026-01-11 00:00:00.0000000,9,paid,557.97,.00,99.00
58,1042,2025-08-14 00:00:00.0000000,4,paid,537.28,.00,49.00
59,818,2025-10-17 00:00:00.0000000,12,paid,634.70,.00,79.00
60,855,2025-09-04 00:00:00.0000000,5,paid,173.00,.00,49.00
61,559,2025-08-30 00:00:00.0000000,6,paid,145.03,5.05,49.00
62,503,2025-10-31 00:00:00.0000000,12,paid,220.29,11.59,.00
63,1113,2025-08-17 00:00:00.0000000,9,paid,242.57,.00,79.00
64,203,2026-01-05 00:00:00.0000000,6,paid,231.39,20.27,49.00
65,946,2025-11-01 00:00:00.0000000,9,paid,600.91,.00,79.00
66,240,2026-01-20 00:00:00.0000000,2,paid,306.93,12.00,79.00
67,490,2025-10-18 00:00:00.0000000,4,paid,347.50,.00,79.00
68,1037,2025-11-18 00:00:00.0000000,3,paid,44.42,.00,.00
69,649,2026-01-26 00:00:00.0000000,4,paid,192.39,.00,.00
70,685,2025-11-10 00:00:00.0000000,1,paid,243.42,.00,99.00
71,243,2025-11-14 00:00:00.0000000,2,paid,157.64,.00,99.00
72,507,2025-09-16 00:00:00.0000000,4,paid,83.49,.00,.00
73,1067,2026-01-28 00:00:00.0000000,10,paid,431.82,53.44,129.00
74,613,2025-10-03 00:00:00.0000000,4,cancelled,768.89,33.68,129.00
75,162,2026-01-13 00:00:00.0000000,5,paid,122.22,.00,.00
76,656,2025-10-03 00:00:00.0000000,9,paid,505.33,41.82,129.00
77,959,2025-10-26 00:00:00.0000000,1,paid,437.18,.00,.00
78,621,2025-08-07 00:00:00.0000000,8,paid,728.68,.00,79.00
79,111,2025-08-22 00:00:00.0000000,3,paid,113.15,.00,.00
80,934,2025-10-20 00:00:00.0000000,9,paid,379.84,.00,49.00
81,750,2026-01-16 00:00:00.0000000,11,paid,256.44,.00,79.00
82,709,2025-10-13 00:00:00.0000000,8,paid,457.65,.00,.00
83,273,2025-12-16 00:00:00.0000000,8,paid,655.40,.00,99.00
84,807,2025-12-13 00:00:00.0000000,9,paid,190.49,7.45,49.00
85,41,2025-12-03 00:00:00.0000000,4,paid,313.34,29.37,49.00
86,560,2025-09-19 00:00:00.0000000,12,paid,534.58,45.06,129.00
87,466,2025-09-21 00:00:00.0000000,5,paid,334.75,.00,99.00
88,1101,2026-01-08 00:00:00.0000000,12,paid,245.04,43.24,.00
89,490,2025-08-01 00:00:00.0000000,7,paid,342.21,.00,129.00
90,117,2026-01-28 00:00:00.0000000,2,paid,234.72,.00,.00
91,434,2026-01-09 00:00:00.0000000,7,paid,496.18,.00,79.00
92,1043,2025-08-04 00:00:00.0000000,12,paid,115.40,.00,49.00
93,994,2025-12-23 00:00:00.0000000,3,paid,226.42,.00,99.00
94,196,2025-12-10 00:00:00.0000000,6,paid,389.75,.00,79.00
95,619,2026-01-18 00:00:00.0000000,6,paid,605.57,.00,129.00
96,425,2025-08-04 00:00:00.0000000,6,cancelled,352.83,48.32,79.00
97,34,2025-08-01 00:00:00.0000000,10,paid,283.29,.00,79.00
98,295,2025-10-10 00:00:00.0000000,2,paid,164.70,.00,79.00
99,1007,2026-01-25 00:00:00.0000000,9,paid,251.40,.00,49.00
100,339,2025-09-04 00:00:00.0000000,8,paid,424.64,.00,79.00
101,618,2025-08-08 00:00:00.0000000,7,paid,172.23,.00,99.00
102,180,2025-12-30 00:00:00.0000000,11,paid,140.04,.00,79.00
103,622,2025-09-05 00:00:00.0000000,12,paid,268.83,.00,49.00
104,619,2026-01-25 00:00:00.0000000,12,paid,267.99,.00,79.00
